TF	time	group1	group2	p.value
EP300	0	up-regulated	down-regulated	0.0497634419587803
H3K27ac	0	up-regulated	down-regulated	0.029282042542282
H3K4me1	0	up-regulated	down-regulated	0.0368438065610791
NR3C1	0	up-regulated	down-regulated	0.157687753405818
EP300	120	up-regulated	down-regulated	0.026810210301436
H3K27ac	120	up-regulated	down-regulated	0.203816392239408
H3K4me1	120	up-regulated	down-regulated	0.784816954489733
NR3C1	120	up-regulated	down-regulated	0.000729557620933721
EP300	180	up-regulated	down-regulated	0.00549923788673194
H3K27ac	180	up-regulated	down-regulated	0.0500135878677004
H3K4me1	180	up-regulated	down-regulated	0.752969477512559
NR3C1	180	up-regulated	down-regulated	0.000240247605362867
EP300	240	up-regulated	down-regulated	0.00185808329015679
H3K27ac	240	up-regulated	down-regulated	0.0249510100091887
H3K4me1	240	up-regulated	down-regulated	0.96205432554123
NR3C1	240	up-regulated	down-regulated	8.5584608789247e-05
EP300	30	up-regulated	down-regulated	0.441894734308692
H3K27ac	30	up-regulated	down-regulated	0.905632173417879
H3K4me1	30	up-regulated	down-regulated	0.141478351392181
NR3C1	30	up-regulated	down-regulated	0.058745351925335
EP300	300	up-regulated	down-regulated	0.00161583478134387
H3K27ac	300	up-regulated	down-regulated	0.0207354203871718
H3K4me1	300	up-regulated	down-regulated	0.304511097384713
NR3C1	300	up-regulated	down-regulated	0.000163526390018709
EP300	360	up-regulated	down-regulated	0.00212298727475136
H3K27ac	360	up-regulated	down-regulated	0.00874068116685334
H3K4me1	360	up-regulated	down-regulated	0.483531463494782
NR3C1	360	up-regulated	down-regulated	9.6249057292598e-05
EP300	420	up-regulated	down-regulated	0.00132383314920176
H3K27ac	420	up-regulated	down-regulated	0.00925028997448226
H3K4me1	420	up-regulated	down-regulated	0.168952522093828
NR3C1	420	up-regulated	down-regulated	6.45797467049593e-05
EP300	480	up-regulated	down-regulated	0.00101504473441819
H3K27ac	480	up-regulated	down-regulated	0.0123647564808106
H3K4me1	480	up-regulated	down-regulated	0.166577073537253
NR3C1	480	up-regulated	down-regulated	3.37659887242135e-05
EP300	60	up-regulated	down-regulated	0.242759209722713
H3K27ac	60	up-regulated	down-regulated	0.471931309842651
H3K4me1	60	up-regulated	down-regulated	0.440677465330787
NR3C1	60	up-regulated	down-regulated	0.0110171215756102
EP300	600	up-regulated	down-regulated	0.000804055698265964
H3K27ac	600	up-regulated	down-regulated	0.00571396977079168
H3K4me1	600	up-regulated	down-regulated	0.0709248352648578
NR3C1	600	up-regulated	down-regulated	4.81246963826677e-05
EP300	720	up-regulated	down-regulated	0.00162894403855189
H3K27ac	720	up-regulated	down-regulated	0.0033042186761998
H3K4me1	720	up-regulated	down-regulated	0.0831031479417425
NR3C1	720	up-regulated	down-regulated	4.53947503487759e-05
